,tier,leaguePoints,summonerId,summonerName,account_id
102,CHALLENGER,902,rjRlg3XkFKorxWWDrPPPB2-fJp2EWQHZpV91WWwXsRE46m8,Awe Serenity,foy2o9kdOfl3cWiQ20GGAXx-g9K1iYJAdNQXaoocrZv3Bhw
103,CHALLENGER,1310,CvcRWcvlTw0bTiNTV84rsmHmU31n-0LxQRWM8-S0GOxQFg,쪼렙이다말로하자,cfG-a-RdZ7cgcU2egzRl4hEvnHMEau3EBYKm-_X3Uib-
104,CHALLENGER,1099,FE6gjoTdrBF8i4amWrqWX-Sr_Mw-PjhY8OGHSDbYjeP-yhE,zzzusss,dHAql1OfSTkA8OCS_D5rSMHD_b5_ybTq0KXUjhL7kI6Yllg
105,CHALLENGER,1004,gsl7UWGixZ7Zd9YcCmpIXKxDqGA7lAEz900geuaKVhc0wco,Kingen,qLWdiZTx9kmrJbOVxXmwzNCFOzWwKcWR0O_A5KrILZqkMs8
106,CHALLENGER,914,dJ0GojXzRA-aEhvkNpWVgXnZ1vUc1bTzsaGTXxPsnFmfVTM,군빵맨,EJA4r_vvNUrDQSweID5YQbHQ4zvLBuTNFKS3j9xeKcv6Kho
107,CHALLENGER,1158,1jYg-qgwCUnN72sBFZ68awiHArXM6e_iN7Cs_UFSFEL3f4s,SPG Zzus,THxMzLcP8In84z0yOXkXYwJm4GoQWaXMXTh_uV9uqWt3_Q5TPGebULbl
108,CHALLENGER,1062,1ScRfw6L5UPeuLCl46hWAEjI5kqgNXmFpxQJW6KvBP1W9-g,krats aira,Bf4e_HUQvningg7EnDEHCYiaj3r8tmt_75-E-KiZz6vBF54
109,CHALLENGER,927,X4r4iDMKpfavea3Zr2N75ZcSBFzvVI-z7kgcDsVuqrvCWxQ,리다이린 야캐요,YtPxydx9-FoCzoCNZc1ALZ9CM8poW1xUObUIYfVUVDb4zh1GHvA0WaZG
110,CHALLENGER,1015,Hw6JQvUJjxbFRLMFSToLeJKqfsc2LxiXMqDeR_wkVxbSMcc,NNGG,swvFS3s6M5gPSc6gK_GEkvShNapum6WviT67n1yTnKtNCWg
111,CHALLENGER,981,v1MbDcFub1oJ5tvesG9yeXrvm97ERlIpNeqM5YDzQoGwU2c,Slow Start 1,L0QCC1qKnP1zr45LsL4K59S_Vsv6l-u2fM_Ih1BXuzcrZNA
112,CHALLENGER,908,Uww3SZwXwJQs16dtUJlBc2lprTqcCSU3lBQKtI5hmQHyQQw,꿀때지,JBqc5A_m8NnaYxZkSpqdeuM0IUSRkU4p1k5eEyKaX9-Q2_mB2TMwPq8D
113,CHALLENGER,880,RJGk-RNtTolSO4kUBQSgO_O0QHzriht_VckOMHhY3gwuPjk,guyuefangyuan,ks8X4XT7cQIyJQ5NX3etXMmZBBlkqGRBmChB_kKAFSpF67kbpE140yo_
114,CHALLENGER,881,qjZY_XSNoINmOABqzM0uwR_6A_9pg6sYRByxoYlR-Mp8HRM,미북이,yk2NVOTADTY4tC3VMeLuci6B1xpxtfUtjI1ODYgYmxstRFo
115,CHALLENGER,1001,daHSA2uw3xJ7ZpGOONkqWMXr8n5Gk6Cz-ZYtvhJCct1SHRE,MapleStory275LV,FmZlvoXMPA6u104NNirO6kVk3yZs_xsrtTn9B85rhXmvvRhjxNPbMO11
116,CHALLENGER,1256,yMd_7PBxpV8AoIWIdJA5WPD1n93Z7vKIA9jeUiTxTGUVMTA,River9,ahqBq1lX1WEs0Xjbitfs73DJ5v5pZ8qjj3rxVNebmHXiI_9TE0H2zxm2
117,CHALLENGER,1035,BWeQkv-SGHt_i5XpIkleFgmHQicOlW_Z9p93V8IPDHOk1M0,OMGqx1328035572,wJUYlJzAKDEs27zDOvpyWzLsUMi0dwbQEixL5JRkvP4xQgk
118,CHALLENGER,857,cjKRdDs4CTFdKBVmgCL8kt-viVfTVxjYv4ci0dEcgr1vpg,dkslrmrjfdho,sYzemwSnqlhDsruVw78ovZt9BZTp6V7UGg0_QeziJ8Cy
119,CHALLENGER,858,SPcjLeHz0NG-3pwHmkVPRJovjwIaZtXprNQO75OloWJ_EFE,7777케이,idOXwwUcNTmomKCwCKdK8bXQcfCGVQpew3nblRTwvcv5QMk
120,CHALLENGER,1151,9iJMjIqc1aKakpUNDlLCACmOxUs3H0W3BuxDdtL_-q0s9p4,tiancaibing,zJPzLKXA62P_XurIuuHUzy8OOWG2ucj6W1WFu3GtwQYYpzsRI5X_E4zq
